https://dfkanalytics.vercel.app/hero

Cost,Realm,Id,Rarity,Class,Subclass,Background,Lvl,XP To Level,Gen,Sum,SB1,SB2,Train Stat,Profession,PJ,Element,Class Score,CScore/Level,Growth Score,Active1,Active2,Passive1,Passive2,Name
32,CV,263849,0,Knight,Berserker,mountains,1,2000,2,3,STR,AGI,13,gardening,,wind,1.40,1.40,0.603,Basic4,Basic3,Advanced2,Basic7,Bobbi Fullbow
32.8,CV,265933,1,Warrior,Thief,plains,1,2000,2,5,END,WIS,11,gardening,,wind,1.70,1.70,0.738,Basic6,Basic8,Basic3,Basic8,Pawen Honn
33,CV,262346,0,Warrior,DarkKnight,island,1,1925,3,0,WIS,INT,12,gardening,,water,1.15,1.15,0.631,Basic7,Basic6,Basic8,Basic6,Skaldar Amphirola
34,CV,265503,1,Knight,Archer,arctic,1,2000,4,0,INT,END,13,gardening,,lightning,1.75,1.75,0.784,Basic6,Basic5,Basic1,Basic4,Thephesil P'xhike
35,CV,263524,1,Pirate,Warrior,city,1,1895,3,5,AGI,DEX,12,gardening,,light,1.80,1.80,0.813,Basic6,Basic2,Basic8,Basic4,Varsilt Crimrigar
35,CV,254088,0,Knight,Knight,plains,1,0,1,4,LCK,AGI,11,gardening,,lightning,2.15,2.15,0.613,Basic8,Basic5,Basic5,Basic3,Theophedeia W'nonu
35,CV,265213,0,Thief,Pirate,mountains,1,2000,3,3,VIT,LCK,13,gardening,,light,1.60,1.60,0.575,Basic1,Basic6,Basic2,Basic7,Soleil Hawkbrow
36,CV,256634,0,Pirate,Archer,forest,1,456,3,1,LCK,AGI,13,foraging,,fire,1.10,1.10,0.574,Advanced3,Basic2,Basic6,Advanced4,Iola Lunaspear
37,CV,252150,0,Warrior,Seer,forest,1,612,5,1,LCK,DEX,11,fishing,,ice,0.40,0.40,0.504,Basic1,Basic7,Basic3,Basic4,Floyd Goodbrother
37,CV,256628,0,Pirate,Warrior,plains,1,279,2,2,STR,INT,12,foraging,,water,1.40,1.40,0.583,Basic4,Basic8,Basic2,Basic8,Orothea Softgrain
37,CV,261720,0,Thief,Summoner,forest,1,472,3,1,STR,STR,13,foraging,,earth,1.10,1.10,0.555,Basic3,Basic4,Basic8,Basic4,Pelton Cordwayner
38,CV,264338,0,Monk,Monk,swamp,1,1614,3,5,END,WIS,11,foraging,,fire,1.10,1.10,0.566,Basic4,Basic1,Basic1,Basic4,Vynaan Pinewhisper
38,CV,265998,1,Archer,Knight,city,1,1894,6,0,END,LCK,12,fishing,,light,2.10,2.10,0.763,Basic8,Basic5,Basic4,Basic5,Katythia Snowbraider
38,CV,259557,0,Seer,Pirate,arctic,1,867,3,0,AGI,STR,13,fishing,,earth,1.40,1.40,0.459,Basic1,Basic7,Basic7,Basic3,Unobeus Eaglekeeper
38.5,CV,264624,0,Seer,Wizard,desert,1,1593,2,2,END,VIT,13,fishing,,earth,1.00,1.00,0.590,Basic5,Basic4,Basic1,Basic1,Matelea Proudsnout
38.5,CV,264359,0,Thief,Warrior,desert,1,1498,2,1,DEX,LCK,13,foraging,,wind,1.10,1.10,0.567,Basic5,Basic6,Advanced2,Basic5,Groldag Sharpcrusher
38.7,CV,258038,0,Monk,Wizard,mountains,1,875,3,5,STR,DEX,11,fishing,,dark,1.20,1.20,0.510,Basic7,Basic2,Basic7,Basic7,Rhimorn Hydradane
39,CV,262575,0,Knight,Priest,island,1,1208,3,4,WIS,AGI,10,fishing,,dark,0.50,0.50,0.492,Basic6,Basic3,Basic4,Basic3,Manhattan Elmdivider
39,CV,262671,0,Paladin,Monk,forest,1,1329,5,0,VIT,VIT,16,foraging,,lightning,2.40,2.40,0.732,Basic2,Basic7,Basic7,Basic2,Rixar Fernflayer
39,CV,266155,0,Pirate,Seer,forest,1,2000,4,2,LCK,STR,13,foraging,,water,1.10,1.10,0.483,Basic5,Basic4,Basic1,Basic8,Sukraam Irolon
39,CV,265729,0,Warrior,Priest,mountains,1,1829,3,6,LCK,DEX,11,foraging,,lightning,0.40,0.40,0.504,Basic7,Basic2,Basic7,Basic7,Yasah Spicer
39.5,CV,257258,0,Priest,Archer,desert,1,1059,2,5,STR,WIS,16,fishing,,earth,0.60,0.60,0.512,Basic2,Basic5,Basic3,Basic7,Eflyn Grasseyes
39.5,CV,257352,0,Archer,Warrior,mountains,1,1143,3,3,AGI,VIT,12,fishing,,light,1.00,1.00,0.582,Basic3,Basic6,Basic6,Basic6,Wamayth Barbarron
40,CV,266033,1,Thief,Pirate,city,1,1905,4,0,AGI,DEX,14,foraging,,light,2.75,2.75,0.769,Basic7,Basic1,Basic6,Basic6,Innyillal Moonthorn
40,CV,264293,0,Monk,Seer,plains,1,1918,2,6,INT,END,11,foraging,,wind,0.50,0.50,0.519,Basic6,Basic4,Basic5,Basic3,Kimbell Stormtori
40,CV,263127,0,Pirate,Seer,plains,1,2000,2,5,INT,WIS,10,gardening,,wind,0.40,0.40,0.453,Basic4,Basic8,Basic1,Basic4,Alnthorn Slait
40,CV,235460,0,Summoner,Seer,forest,2,335,3,0,AGI,WIS,17,fishing,,water,3.09,1.54,0.761,Basic4,Advanced3,Basic2,Basic6,Carsoth Ambergloom
40,CV,263920,0,Knight,Priest,city,1,1937,2,4,WIS,INT,11,gardening,,earth,1.20,1.20,0.477,Advanced2,Basic1,Basic6,Basic6,Kamron Nightwoods
40,CV,264596,0,Pirate,Thief,forest,1,2000,3,6,VIT,LCK,13,gardening,,light,1.70,1.70,0.569,Basic5,Basic8,Advanced3,Basic4,Cegrarn Tollett
40,CV,266225,0,Warrior,Pirate,city,1,2000,2,7,END,AGI,12,foraging,,dark,1.95,1.95,0.611,Basic2,Basic8,Basic4,Basic4,Dyllis Treekiller
42,CV,217230,0,DarkKnight,Archer,city,2,0,3,1,STR,WIS,19,gardening,,water,2.69,1.34,0.688,Basic7,Basic3,Basic6,Basic3,Alma Hazelshield
42,CV,252651,0,Warrior,Pirate,forest,1,1472,2,8,DEX,LCK,11,gardening,,dark,1.40,1.40,0.593,Basic4,Basic6,Basic7,Basic1,Hestassar Havenwhisper
42,CV,254602,1,Archer,Knight,arctic,1,2000,2,5,DEX,END,15,gardening,,dark,2.60,2.60,0.775,Basic5,Basic7,Basic5,Basic8,Bard Birchchaser
42,CV,256125,0,Warrior,Priest,swamp,1,1608,2,5,END,LCK,11,gardening,,dark,1.30,1.30,0.474,Basic5,Basic3,Basic7,Basic6,Ozivior Starmuse
42,CV,265997,1,Monk,Priest,plains,1,1918,3,4,VIT,VIT,14,foraging,,dark,2.30,2.30,0.717,Basic1,Basic1,Basic7,Basic2,Woodrow Fogfollower
43,CV,232850,0,Warrior,Pirate,plains,3,3865,3,2,STR,STR,20,gardening,,lightning,4.57,1.52,0.626,Basic3,Basic2,Basic4,Basic3,Larry Masdus
44,CV,264977,0,Archer,Monk,forest,1,1607,2,6,INT,INT,13,fishing,,light,1.60,1.60,0.545,Basic5,Basic4,Basic5,Basic2,Yuzan Obsitul
44,CV,232076,0,DarkKnight,Archer,forest,2,0,3,1,DEX,STR,18,gardening,,ice,1.90,0.95,0.723,Basic4,Basic2,Basic7,Advanced4,Ozivior Aerin
45,CV,263110,0,Pirate,Thief,forest,1,1870,2,8,VIT,DEX,12,gardening,,light,1.20,1.20,0.578,Basic7,Basic4,Basic6,Basic4,Wendi Horsecreek
45,CV,265902,0,Thief,Knight,arctic,1,1886,2,6,LCK,WIS,13,foraging,,ice,1.30,1.30,0.541,Basic7,Basic8,Basic4,Basic3,Barmoth Stormshield
45,CV,242190,0,Warrior,Thief,island,2,1057,3,4,VIT,DEX,14,foraging,,earth,4.03,2.02,0.592,Basic6,Basic4,Basic4,Basic8,Alfonsine Farbhéaltum
