https://dfkanalytics.vercel.app/hero

Cost,Realm,Id,Rarity,Class,Subclass,Background,Lvl,XP To Level,Gen,Sum,SB1,SB2,Train Stat,Profession,PJ,Element,Class Score,CScore/Level,Growth Score,Active1,Active2,Passive1,Passive2,Name
43,SD,257761,0,Knight,Ninja,desert,1,938,4,0,AGI,AGI,14,gardening,,fire,3.90,3.90,0.645,Basic5,Basic8,Basic4,Basic7,Cagdodoc Grassbearer
44,SD,265923,0,Knight,Thief,plains,1,2000,3,4,DEX,INT,10,gardening,,wind,1.10,1.10,0.532,Basic5,Advanced4,Basic2,Basic4,Theophane Freetrack
44,SD,265301,0,Warrior,Thief,desert,1,2000,4,1,LCK,DEX,11,gardening,,fire,0.40,0.40,0.576,Basic1,Basic1,Basic8,Basic3,Fyllyrion Cataclygauros
45,SD,265862,0,Pirate,Monk,mountains,1,2000,2,5,STR,INT,12,gardening,,ice,1.40,1.40,0.541,Basic5,Basic2,Basic1,Basic7,Normand Nethedus
45,SD,224893,0,Warrior,Pirate,mountains,2,2427,4,0,DEX,END,17,gardening,,water,6.43,3.21,0.680,Basic6,Advanced2,Basic4,Basic8,Valac Hallowedblossom
45,SD,254143,0,Archer,Priest,mountains,1,2000,6,0,WIS,VIT,13,mining,,dark,1.50,1.50,0.514,Basic4,Basic4,Basic2,Basic8,Breraric Deadblower
45,SD,266179,0,Knight,Priest,arctic,1,2000,3,5,STR,DEX,13,gardening,,ice,1.40,1.40,0.498,Basic5,Basic3,Basic8,Basic3,Regrint Irogas
47,SD,266006,0,Wizard,Thief,swamp,1,2000,2,6,AGI,STR,12,gardening,,water,0.80,0.80,0.474,Basic7,Basic6,Basic6,Basic3,Mai Silvercaller
47,SD,249055,0,Ninja,Knight,desert,1,80,2,0,AGI,WIS,15,gardening,,ice,1.70,1.70,0.665,Basic1,Basic1,Basic3,Basic6,Wudius Phanvern
47,SD,265819,0,Warrior,Priest,city,1,2000,2,4,AGI,VIT,12,gardening,,light,1.00,1.00,0.502,Basic4,Basic1,Basic3,Basic3,Elliot Barbartul
47,SD,264583,0,Archer,Priest,mountains,1,2000,2,7,LCK,AGI,12,gardening,,dark,0.80,0.80,0.494,Basic2,Basic4,Basic5,Basic8,Tabbris Diamodoru
47,SD,258937,0,Monk,Seer,arctic,1,802,2,5,VIT,AGI,11,mining,,ice,1.20,1.20,0.522,Basic1,Basic5,Basic1,Basic3,Arankar Cragdew
47,SD,259418,0,Pirate,Knight,mountains,1,553,2,5,WIS,LCK,13,mining,,dark,0.40,0.40,0.594,Basic7,Basic5,Basic6,Basic4,Germadoc Thornwander
47,SD,265732,0,Monk,Knight,mountains,1,2000,3,5,DEX,STR,11,mining,,water,1.20,1.20,0.577,Basic6,Basic5,Basic1,Basic5,Sophonia Deadshot
47.5,SD,233976,0,Ninja,Wizard,swamp,1,0,2,0,STR,LCK,13,gardening,,lightning,1.00,1.00,0.648,Basic7,Basic4,Basic2,Advanced1,Mothtreo Downkeep
48,SD,248531,0,Pirate,Monk,plains,1,1925,1,4,LCK,AGI,14,gardening,,dark,2.25,2.25,0.565,Basic5,Basic6,Basic4,Basic3,Asrey Fourbrace
48,SD,258183,1,Pirate,Monk,mountains,1,451,1,5,VIT,END,13,gardening,,ice,3.15,3.15,0.762,Basic7,Basic2,Basic1,Basic2,Tellon Tusktoe
48,SD,265017,0,Warrior,Priest,city,1,2000,4,4,INT,END,11,gardening,,lightning,0.40,0.40,0.502,Basic8,Basic5,Basic1,Advanced2,Fridwine Mildflayer
48,SD,264906,0,Archer,Priest,city,1,1760,3,4,LCK,DEX,15,mining,,earth,0.80,0.80,0.512,Basic3,Basic1,Basic8,Basic4,Autumn Sternmore
48,SD,266130,0,Monk,Seer,forest,1,2000,2,4,END,END,14,gardening,,earth,1.10,1.10,0.519,Basic3,Basic6,Basic2,Basic2,Hand Sárd
48,SD,265582,0,Archer,Monk,arctic,1,2000,2,7,VIT,VIT,12,gardening,,dark,1.00,1.00,0.551,Basic4,Basic8,Basic4,Basic1,Zeld Winterkiller
48,SD,265233,0,Wizard,Pirate,forest,1,2000,2,4,DEX,AGI,12,gardening,,light,0.60,0.60,0.458,Basic6,Basic6,Basic5,Basic8,Gogrog Softgrain
48.5,SD,261969,0,Thief,Warrior,city,1,1570,2,3,WIS,VIT,10,mining,,water,1.80,1.80,0.558,Basic8,Basic4,Basic8,Advanced4,Aemphiril Woodleaves
48.99,SD,262489,0,Thief,Monk,mountains,1,1943,3,3,DEX,VIT,11,mining,,dark,1.75,1.75,0.545,Basic3,Basic8,Basic8,Basic2,Donovan Cingary
49,SD,265911,0,Monk,Knight,forest,1,2000,3,5,LCK,STR,11,gardening,,water,0.60,0.60,0.577,Basic6,Advanced3,Basic8,Basic1,Usiel Fallwander
49,SD,265290,0,Archer,DarkKnight,island,1,2000,3,3,AGI,AGI,13,mining,,wind,1.00,1.00,0.611,Basic3,Basic1,Basic6,Basic3,Igwulf Whitehill
49,SD,221715,1,Wizard,Priest,plains,1,0,1,3,STR,END,14,gardening,,water,3.40,3.40,0.792,Basic5,Basic8,Basic4,Basic8,Sarostus Pinedreamer
49,SD,253722,0,Thief,Priest,swamp,1,755,2,3,LCK,LCK,16,mining,,lightning,1.30,1.30,0.500,Basic3,Basic1,Basic7,Basic3,Xalenor Barleyshadow
49,SD,249880,0,Wizard,Pirate,forest,1,0,2,5,END,DEX,12,gardening,,ice,1.00,1.00,0.452,Basic6,Basic5,Basic5,Basic8,Vhassoyor Moltenreaper
49,SD,265075,0,Archer,Pirate,desert,1,2000,3,4,WIS,AGI,12,mining,,earth,0.50,0.50,0.574,Basic3,Basic4,Basic8,Basic7,Klarinda Elfscribe
49,SD,265945,0,Archer,Warrior,mountains,1,2000,3,3,WIS,VIT,12,mining,,ice,0.50,0.50,0.582,Basic1,Basic1,Basic2,Basic3,Thormod Terrastride
